,train_id,name,upper_word_count,upper_char_count,bef_word_count,bef_char_count,stopword_count,punctuation_count,number_count,bef_avg_word_len,clean_name,aft_word_count,aft_char_count,aft_avg_word_len
0,748447,Polaroid Camera,0,2,2,15,0,0,0,7.5,polaroid camera,2,15,7.5
1,674932,Vintage Ashtray,0,2,2,15,0,0,0,7.5,vantage astray,2,14,7.0
2,586672,Matilda Jane weekender nwt,0,2,4,26,0,0,0,6.5,manila jane weekend not,4,23,5.75
3,846012,Red Full Lace Wig,0,4,4,17,0,0,0,4.25,red full lace wig,4,17,4.25
4,1026408,EQUATE NICOTINE TRANSDERMAL SYSTEM,4,31,4,34,0,0,0,8.5,quite nicotine transdermal system,4,33,8.25
5,752726,Scantrons 882-E Free Shipping,1,4,4,29,0,1,0,7.25,scantrons 882e free shipping,4,28,7.0
6,1477709,Victoria's Secret Alabama sleep pants,0,3,5,37,0,1,0,7.4,victories secret alabama sleep parts,5,36,7.2
7,20101,Puma toddler girls,0,1,3,18,0,0,0,6.0,pump toller girls,3,17,5.666666666666667
8,711453,Black top,0,1,2,9,0,0,0,4.5,black top,2,9,4.5
9,1240855,Gold & White Heart Mug,0,4,5,22,0,1,0,4.4,gold white heart mug,4,20,5.0
10,834405,Express flip flops,0,1,3,18,0,0,0,6.0,express lip flaps,3,17,5.666666666666667
11,961377,Headrest Mount for Tablets,0,3,4,26,1,0,0,6.5,nearest mount tablets,3,21,7.0
12,653004,Bundle SciFi & Gizmo Lapel Pin for uges,0,6,8,39,1,1,0,4.875,bundle swift gizmo label pin ages,6,33,5.5
13,85037,Sprint Htc one,0,2,3,14,0,0,0,4.666666666666667,spring etc one,3,14,4.666666666666667
14,44256,Lularoe XS Irma Mickey Lularoe Logo Pink,1,8,7,40,0,0,0,5.714285714285714,lularoe is army picked lularoe log pink,7,39,5.571428571428571
15,943804,Denver Broncos Origami Owl Like,0,5,5,31,0,0,0,6.2,denver bronzes origami owl like,5,31,6.2
16,1265040,TARTE CURL BOSS,3,13,3,15,0,0,0,5.0,taste curl boss,3,15,5.0
17,1284705,Eddie Bauer boys boots. Size 8.,0,3,6,31,0,2,0,5.166666666666667,eddies baker boys boots size 8,6,30,5.0
18,1292898,VS PINK bling Zip up Hoodie,2,8,6,27,1,0,0,4.5,vs pink being zip hood,5,22,4.4
19,1257768,Cute slip dress Halloween costume,0,2,5,33,0,0,0,6.6,cut slip dress halloween costume,5,32,6.4
20,867901,Woman's clothing,0,1,2,16,0,1,0,8.0,woman clothing,2,14,7.0
21,245064,NEW Victoria Secret Swimsuit Top sz L,2,8,7,37,0,0,0,5.285714285714286,new victoria secret swimsuit top s l,7,36,5.142857142857143
22,900037,Pink Sherpa Pullover,0,3,3,20,0,0,0,6.666666666666667,pink sharp plover,3,17,5.666666666666667
23,480518,Oshkosh size 5 brown toddler loafers,0,1,6,36,0,0,1,6.0,oshkosh size 5 brown toller loafer,6,34,5.666666666666667
24,627503,Kate Spade cross body LIKE NEW,2,9,6,30,0,0,0,5.0,kate spade cross body like new,6,30,5.0
25,804471,Fashion Nova Olive Set,0,4,4,22,0,0,0,5.5,fashion nova olive set,4,22,5.5
26,963174,Guess Wide Calf Tall Boots Sz 9.5,0,6,7,33,0,1,0,4.714285714285714,guess wide calf tall boots s 95,7,31,4.428571428571429
27,1268608,UGGS 6c,1,4,2,7,0,0,0,3.5,eggs c,2,6,3.0
28,826580,Silver,0,1,1,6,0,0,0,6.0,silver,1,6,6.0
29,448163,Katy Hearn Shirt,0,3,3,16,0,0,0,5.333333333333333,kate heard shirt,3,16,5.333333333333333
30,514536,10 Womens Beige Tan Stacked Heels Shoes,0,6,7,39,0,0,1,5.571428571428571,10 women beige an stacked heels shoes,7,37,5.285714285714286
31,93556,Lularoe TC,1,3,2,10,0,0,0,5.0,lularoe to,2,10,5.0
32,709494,Vans Purple And Blue Ombre Shoes,0,6,6,32,1,0,0,5.333333333333333,van purple blue sombre shoes,5,28,5.6
33,891499,Dermablend redness concealer,0,1,3,28,0,0,0,9.333333333333334,dermablend redness concealed,3,28,9.333333333333334
34,1107436,Red Velvet 24hr Velvet Matte Lip Kit,0,6,7,36,0,0,0,5.142857142857143,red velvet 24hr velvet matter lip kit,7,37,5.285714285714286
35,154727,Lego Series 13 Classic King Minifigure,0,5,6,38,0,0,1,6.333333333333333,leg series 13 classic king minifigure,6,37,6.166666666666667
36,239817,Beauty Blender For Jesse1330,0,4,4,28,1,0,0,7.0,beauty slender jesse1330,3,24,8.0
37,1261174,Blue and Green Chacos Size 8,0,4,6,28,1,0,1,4.666666666666667,blue green chaos size 8,5,23,4.6
38,773081,Philadelphia Eagles Velcro Hat,0,4,4,30,0,0,0,7.5,philadelphia eagles velcro hat,4,30,7.5
39,902498,Thirsties Hemp/Cotton Inserts,0,4,3,29,0,1,0,9.666666666666666,thirties hempcotton insects,3,27,9.0
40,380003,Authentic Chanel scarf,0,2,3,22,0,0,0,7.333333333333333,authentic channel scarf,3,23,7.666666666666667
41,1369883,H&M Gray Maternity Jeans,1,5,4,24,0,1,0,6.0,hm gray paternity jeans,4,23,5.75
42,650392,(For Harley Quinn) Nautical bikini,0,4,5,34,0,2,0,6.8,harley quite nautical liking,4,28,7.0
43,10729,Puppy/Kitty in my Pocket,0,3,4,24,2,1,0,6.0,puppykitty pocket,2,17,8.5
44,235436,"BNWT LulaRoe OS leaf leggings, leaves",2,8,6,37,0,1,0,6.166666666666667,not lularoe os leaf leggings leaves,6,35,5.833333333333333
45,280373,Bundle 2 x Xbox One Controller Battery,0,5,7,38,0,0,1,5.428571428571429,bundle 2 x box one controller battery,7,37,5.285714285714286
46,176425,Japanese Vs Deck Mew 002,0,4,5,24,0,0,1,4.8,japanese vs deck me 002,5,23,4.6
47,251857,Louis Vuitton wallet,0,2,3,20,0,0,0,6.666666666666667,louis button wallet,3,19,6.333333333333333
48,1228755,Large LuLaRoe Classic T,1,6,4,23,1,0,0,5.75,large lularoe classic,3,21,7.0
49,832268,Bride & groom shot glasses,0,1,5,26,0,1,0,5.2,bride groom shot glasses,4,24,6.0
50,484407,Mommy and me leggings,0,1,4,21,2,0,0,5.25,mummy leggings,2,14,7.0
51,932048,Fur Pom Pom keychain,0,3,4,20,0,0,0,5.0,fur pot pot keychain,4,20,5.0
52,65167,NEAR-PERFECT! UGG Bailey Button boots,2,16,5,37,0,2,0,7.4,nearperfect ogg bailey button boots,5,35,7.0
53,33437,BUNDLE for LETSHAVEFUN,2,17,3,22,1,0,0,7.333333333333333,bundle letshavefun,2,18,9.0
54,186927,Velvet blazer,0,1,2,13,0,0,0,6.5,velvet blazed,2,13,6.5
55,219953,iPhone 5S,1,2,2,9,0,0,0,4.5,phone is,2,8,4.0
56,587597,Two belly button rings!,0,1,4,23,0,1,0,5.75,two belly button rings,4,22,5.5
57,405493,Escada Perfume,0,2,2,14,0,0,0,7.0,escape perfume,2,14,7.0
58,218156,Hat ecko for men,0,1,4,16,1,0,0,4.0,hat echo men,3,12,4.0
